"Member","File","Touches","Insertions","Deletions"
"Agnesa Maxhuni","frontend/src/styles/ui.css","26","3262","251"
"Agnesa Maxhuni","backend/OnlineExam.Api/Controllers/ExamsController.cs","18","1676","554"
"Agnesa Maxhuni","frontend/src/pages/exams/StudentExamSessionPage.jsx","14","1376","753"
"Agnesa Maxhuni","docs/13-project-status-gap-analysis.md","12","124","61"
"Agnesa Maxhuni","frontend/src/lib/examsApi.js","12","132","34"
"Agnesa Maxhuni","frontend/src/pages/exams/ExamsListPage.jsx","12","602","371"
"Agnesa Maxhuni","docs/00-master.md","11","52","15"
"Agnesa Maxhuni","docs/work-log.md","11","62","1"
"Agnesa Maxhuni","frontend/src/pages/exams/ExamDetailsPage.jsx","11","1431","496"
"Agnesa Maxhuni","frontend/src/routes/AppRoutes.jsx","10","28","11"
"Agnesa Maxhuni","frontend/src/pages/exams/ExamGradebookPage.jsx","9","1141","323"
"Agnesa Maxhuni","docs/test-guide.md","8","202","6"
"Agnesa Maxhuni","frontend/src/components/AppShell.jsx","8","132","6"
"Agnesa Maxhuni","frontend/src/components/RoleDashboardPanels.jsx","8","383","90"
"Agnesa Maxhuni","frontend/src/pages/exams/ExamCreatePage.jsx","8","543","286"
"Agnesa Maxhuni","frontend/src/lib/i18n.js","7","80","1118"
"Agnesa Maxhuni","backend/OnlineExam.Api/Controllers/QuestionsController.cs","5","162","22"
"Agnesa Maxhuni","docs/10-ui-pages.md","5","60","101"
"Agnesa Maxhuni","frontend/src/pages/admin/AdminEnrollmentsPage.jsx","5","1216","70"
"Agnesa Maxhuni","frontend/src/pages/Dashboard.jsx","5","38","111"
"Agnesa Maxhuni",".github/pull_request_template.md","4","28","0"
"Agnesa Maxhuni","backend/OnlineExam.Api/DTOs/ExamAccessDtos.cs","4","73","6"
"Agnesa Maxhuni","backend/OnlineExam.Api/Program.cs","4","164","35"
"Agnesa Maxhuni","docs/04-nonfunctional-requirements.md","4","63","25"
"Agnesa Maxhuni","docs/12-roadmap-and-mvp.md","4","101","48"
"Agnesa Maxhuni","frontend/src/pages/admin/AdminAcademicStructurePage.jsx","4","841","44"
"Agnesa Maxhuni","frontend/src/pages/admin/AdminUsersPage.jsx","4","732","83"
"Agnesa Maxhuni","backend/OnlineExam.Api/Controllers/AuthController.cs","3","69","35"
"Agnesa Maxhuni","backend/OnlineExam.Api/Data/AppDbContext.cs","3","53","4"
"Agnesa Maxhuni","backend/OnlineExam.Api/Migrations/AppDbContextModelSnapshot.cs","3","277","44"
"Agnesa Maxhuni","backend/OnlineExam.Api/Models/Exam.cs","3","11","12"
"Agnesa Maxhuni","docker-compose.yml","3","32","2"
"Agnesa Maxhuni","docs/01-introduction.md","3","63","25"
"Agnesa Maxhuni","docs/02-scope-and-roles.md","3","126","56"
"Agnesa Maxhuni","docs/11-security-proctoring.md","3","72","41"
"Agnesa Maxhuni","docs/demo-readiness-checklist.md","3","63","0"
"Agnesa Maxhuni","frontend/src/lib/academicApi.js","3","120","0"
"Agnesa Maxhuni","frontend/src/lib/permissions.js","3","10","2"
"Agnesa Maxhuni","frontend/src/pages/exams/ExamMonitorPage.jsx","3","418","530"
"Agnesa Maxhuni","frontend/src/pages/exams/QuestionCreatePage.jsx","3","79","118"
"Agnesa Maxhuni","frontend/src/pages/exams/StudentResultsPage.jsx","3","103","53"
"Agnesa Maxhuni","frontend/src/pages/Login.jsx","3","83","34"
"Agnesa Maxhuni","frontend/src/pages/question-bank/QuestionBankPage.jsx","3","779","509"
"Agnesa Maxhuni",".gitignore","2","4","1"
"Agnesa Maxhuni","backend/OnlineExam.Api/Controllers/UsersController.cs","2","264","62"
